"","CPSID","CPSIDP","public_housing","age","female","race","marital_status","veteran","employed","education","worked_last_year","total_income_last_year","wage_income_last_year","own_farm_income_last_year","private_health_insurance","medicaid","class_of_worker","class_of_worker_last_year","union","earnings"
"12",20181202843500,20181202843501,NA,63,0,1,1,1,1,73,1,46892,38000,0,0,0,28,28,0,550
"15",20181202835000,20181202835002,NA,43,0,1,1,0,1,81,1,100012,100000,0,1,0,25,25,0,865
"64",20171202883700,20171202883702,NA,32,0,1,1,0,1,111,1,90001,90000,0,1,0,21,22,0,2884
"78",20190302832400,20190302832401,0,38,1,1,4,0,1,73,1,17240,17240,0,0,1,21,22,0,264
"84",20171202896400,20171202896401,NA,39,0,1,1,0,1,111,1,42002,42000,0,1,0,28,28,1,965
"85",20171202896400,20171202896402,NA,29,1,1,1,0,1,73,1,40002,40000,0,1,0,21,22,0,769
"86",20171202878100,20171202878101,NA,51,0,1,1,1,1,111,1,72500,72000,0,1,0,28,28,0,1442
"87",20171202878100,20171202878102,NA,52,1,1,1,0,1,111,1,36602,36002,0,1,0,21,22,0,750
"94",20181202851700,20181202851702,NA,76,0,1,1,0,1,73,1,44949,12002,0,1,0,21,22,0,357
"99",20181202851600,20181202851601,NA,71,0,1,6,1,1,73,1,56000,40000,0,1,0,28,28,1,800
"106",20181202834300,20181202834301,NA,51,0,1,1,0,1,81,1,52287,51488,0,1,0,27,27,1,756
"107",20181202834300,20181202834302,NA,52,1,1,1,0,1,81,1,19230,18890,0,1,0,28,28,1,473
"112",20171202863500,20171202863502,NA,55,1,1,1,0,1,73,1,40001,40000,0,1,0,21,22,0,760
"171",20181202845200,20181202845201,NA,70,1,1,4,0,1,124,1,38802,25000,0,1,0,21,22,0,440
"183",20171202879300,20171202879301,0,60,1,1,1,0,1,81,1,26502,25000,0,1,0,21,22,0,518
"184",20171202879300,20171202879302,0,51,0,1,1,0,1,123,1,74596,74000,0,1,0,21,22,1,1500
"185",20181202844700,20181202844701,NA,20,0,1,6,0,1,73,1,12000,12000,0,1,0,21,22,0,480
"186",20181202844700,20181202844702,NA,56,1,1,5,0,1,73,1,17222,17122,0,1,0,21,28,0,438
"193",20171202890500,20171202890501,NA,67,1,1,5,0,1,73,1,33816,12000,0,1,0,28,28,0,329
"206",20171202879400,20171202879401,NA,58,1,1,4,0,1,91,1,36004,36000,0,1,0,21,22,0,514
"211",20181202850400,20181202850401,NA,42,1,1,1,0,1,81,1,29912,26000,0,1,0,21,22,0,463
"212",20181202850400,20181202850402,NA,42,0,1,1,0,1,73,1,63000,62000,0,1,0,21,22,0,1444
"213",20181202850400,20181202850404,NA,21,0,1,6,0,1,81,1,23001,23000,0,1,0,28,28,1,462
"239",20181202835700,20181202835701,NA,57,1,1,4,0,1,73,1,16700,16000,0,1,0,21,22,0,150
"240",20181202833300,20181202833301,0,61,1,1,5,0,1,73,1,28001,28000,0,1,0,21,22,0,600
"243",20181202840400,20181202840403,NA,52,0,1,6,0,1,73,1,24000,24000,0,1,0,21,22,0,425
"281",20181202841600,20181202841602,NA,63,1,1,1,0,1,92,1,60450,60000,0,1,0,28,28,0,673
"297",20171202875600,20171202875602,NA,47,1,1,1,0,1,92,1,27002,27002,0,1,0,21,22,0,537
"314",20181202838400,20181202838401,NA,25,1,1,6,0,1,81,1,26841,26676,0,1,0,21,22,0,513
"343",20171202892600,20171202892601,NA,56,0,1,1,0,1,91,1,39540,39534,0,1,0,21,22,1,1818
"344",20171202892600,20171202892602,NA,33,1,8,1,0,1,92,1,14000,14000,0,1,0,21,22,0,195
"356",20181202834000,20181202834001,0,52,1,1,1,0,1,123,1,59503,59500,0,1,0,27,27,0,1144
"365",20171202869900,20171202869901,NA,58,1,1,1,1,1,81,1,100500,99000,0,1,0,25,25,0,480
"367",20171202869900,20171202869903,NA,33,1,8,6,0,1,81,1,7501,7500,0,1,1,21,22,0,769
"381",20181202832200,20181202832203,NA,62,0,1,4,0,1,92,1,15056,5000,0,0,0,21,22,0,110
"386",20171202883200,20171202883201,NA,56,1,1,1,0,1,111,1,207569,96214,0,1,0,21,22,0,1942
"387",20171202883200,20171202883202,NA,57,0,1,1,0,1,73,1,67105,66000,0,1,0,21,22,1,1269
"392",20171202863400,20171202863401,NA,52,1,1,4,0,1,81,1,31572,30000,0,1,0,21,22,0,785
"403",20181202847500,20181202847501,NA,27,1,1,1,0,1,81,1,21588,21000,0,1,1,21,22,0,416
"404",20181202847500,20181202847502,NA,28,0,1,1,0,1,73,1,35302,35000,0,1,1,21,22,0,769
"409",20181202819100,20181202819101,NA,50,1,1,1,0,1,123,1,50000,50000,0,1,0,28,28,1,1472
"410",20181202819100,20181202819102,NA,51,0,1,1,0,1,123,1,108806,85000,0,1,0,21,22,1,825
"418",20171202869200,20171202869201,NA,46,1,1,1,0,1,111,1,20001,20000,0,1,0,21,22,0,575
"427",20171202886300,20171202886301,NA,51,1,1,4,0,1,92,1,77012,76000,0,1,0,21,22,0,1100
"428",20171202886300,20171202886303,NA,24,1,1,6,0,1,123,1,14400,14400,0,1,0,21,22,0,576
"481",20171202899900,20171202899901,0,60,1,1,4,1,1,73,1,52507,52500,0,1,0,21,22,0,700
"482",20181202856200,20181202856201,NA,45,1,1,4,0,1,73,1,34618,27000,0,1,0,21,22,0,537
"483",20181202856200,20181202856203,NA,17,1,1,6,0,1,50,1,11924,5000,0,1,0,21,22,0,100
"485",20181202856200,20181202856204,NA,55,0,1,4,0,1,91,1,65120,56000,0,1,0,21,22,0,1100
"491",20171202914500,20171202914501,NA,38,0,1,1,0,1,40,1,44000,36000,0,1,0,21,22,0,800
"492",20171202914500,20171202914502,NA,39,1,1,1,0,1,123,1,42000,42000,0,1,0,21,22,0,900
"515",20171202915500,20171202915501,0,61,1,1,4,0,1,123,1,26782,24000,0,1,0,21,22,0,1019
"521",20171202903600,20171202903601,NA,63,0,1,1,0,1,73,1,54872,40000,0,1,0,21,22,0,673
"522",20171202903600,20171202903602,NA,61,1,1,1,0,1,73,1,45072,39000,0,1,0,21,22,0,827
"555",20171202906000,20171202906002,NA,66,1,1,1,0,1,73,1,44460,43500,0,0,0,21,22,0,837
"569",20181202866700,20181202866702,NA,59,0,1,1,0,1,123,1,234026,229000,0,1,0,21,22,0,2885
"626",20181202876100,20181202876101,1,51,0,2,1,0,1,10,1,12007,12002,0,0,1,21,22,0,264
"674",20181202872600,20181202872601,NA,64,1,1,1,0,1,73,1,67091,42000,0,1,0,21,22,0,900
"675",20181202872600,20181202872602,NA,68,0,1,1,0,1,73,1,54013,44000,0,1,0,25,25,1,846
"679",20171202908200,20171202908201,NA,56,1,1,1,0,1,73,1,30035,30000,0,1,0,21,22,0,690
"680",20171202908200,20171202908202,NA,59,0,1,1,0,1,81,1,87036,84000,0,1,0,21,22,0,1560
"693",20181202872700,20181202872701,0,35,1,1,6,0,1,111,1,36000,36000,0,1,0,27,27,1,780
"706",20171202917800,20171202917801,NA,38,0,8,6,0,1,73,1,12115,500,0,0,1,21,22,0,1335
"769",20181202875500,20181202875502,NA,65,1,1,1,0,1,124,1,109090,109000,0,1,0,27,27,0,2154
"780",20171202911200,20171202911201,NA,53,0,1,1,1,1,73,1,41000,41000,0,1,0,21,22,0,700
"781",20171202911200,20171202911202,NA,48,1,1,1,0,1,92,1,41005,40000,0,1,0,21,22,0,760
"808",20181202862000,20181202862002,NA,60,0,1,1,0,1,124,1,158012,158000,0,1,0,25,25,0,2099
"820",20181202861400,20181202861401,NA,34,0,1,6,0,1,111,1,86006,75000,0,1,0,21,22,0,1538
"845",20181202880600,20181202880602,0,58,1,2,4,0,1,91,1,12000,12000,0,0,1,21,27,0,192
"852",20181202863700,20181202863702,NA,60,1,1,1,0,1,111,1,75850,75000,0,1,0,21,22,0,1563
"855",20171202925000,20171202925001,NA,66,0,1,4,1,1,81,1,26290,19000,0,0,0,21,22,0,131
"856",20171202900100,20171202900101,NA,67,1,1,1,0,1,73,1,39042,35000,0,1,0,21,22,0,1000
"857",20171202900100,20171202900102,NA,69,0,1,1,1,1,111,1,42626,17886,0,1,0,21,22,0,175
"868",20171202917300,20171202917301,NA,28,1,1,1,0,1,91,1,73055,72999,0,1,0,21,22,0,1269
"869",20171202917300,20171202917302,NA,29,0,1,1,0,1,91,1,88465,88000,0,1,0,21,22,1,1692
"872",20181202874300,20181202874302,NA,74,0,1,1,0,1,73,1,53313,20800,0,1,0,21,22,0,72
"873",20181202880400,20181202880401,NA,30,0,1,6,0,1,111,1,63000,58000,0,1,0,21,22,0,1115
"874",20181202880400,20181202880402,NA,36,1,1,6,0,1,111,1,56200,56000,0,1,0,21,22,0,1077
"875",20181202873900,20181202873901,NA,63,0,1,4,0,1,111,1,84272,75000,0,1,0,21,22,0,2885
"878",20181202858500,20181202858501,NA,61,1,1,1,0,1,123,1,252750,245000,0,1,0,21,22,0,2885
"879",20181202858500,20181202858502,NA,69,0,1,1,0,1,125,1,186750,135000,0,1,0,21,22,0,2404
"883",20171202920000,20171202920002,NA,24,0,1,6,0,1,81,1,19000,19000,0,1,0,21,22,0,520
"908",20181202856900,20181202856902,1,19,0,1,6,0,1,73,1,25000,25000,0,1,0,21,22,0,144
"912",20181202867200,20181202867206,0,17,0,1,6,0,1,60,1,1651,1651,0,1,0,21,22,0,192
"913",20181202867200,20181202867205,0,17,1,1,6,0,1,50,1,11924,5000,0,1,0,21,22,0,192
"917",20181202867200,20181202867207,0,39,1,1,6,0,1,92,1,30000,30000,0,1,0,21,22,0,850
"928",20181202864200,20181202864202,NA,65,0,1,1,0,1,81,1,122004,122000,-1,1,0,21,22,0,1100
"935",20171202903400,20171202903401,NA,66,0,1,1,0,1,73,1,160606,115000,-1,1,0,21,22,0,833
"936",20171202903400,20171202903402,NA,62,1,1,1,0,1,73,1,17020,17000,0,1,0,21,22,0,416
"937",20171202903400,20171202903403,NA,28,1,1,6,0,1,73,0,0,0,0,0,1,21,0,0,175
"938",20171202903400,20171202903405,NA,25,0,1,6,0,1,73,1,59000,59000,0,1,0,21,22,0,616
"939",20181202858900,20181202858901,NA,31,1,1,6,0,1,111,1,30000,30000,0,1,0,21,22,0,847
"968",20181202869600,20181202869601,NA,68,1,1,5,0,1,92,1,34986,400,0,0,0,21,22,0,220
"1048",20171202849000,20171202849002,NA,38,1,1,4,0,1,111,1,105430,100750,0,1,0,21,22,0,1938
"1049",20181202811400,20181202811401,NA,52,1,1,5,0,1,111,1,67123,60150,0,1,0,21,22,0,1154
"1056",20171202856200,20171202856201,NA,60,0,1,1,1,1,73,1,125016,123000,0,1,0,21,22,0,2365
"1057",20171202856200,20171202856202,NA,57,1,8,1,0,1,73,1,34505,34500,0,1,0,21,22,0,740
"1062",20171202855300,20171202855303,NA,40,0,1,6,0,1,111,1,30003,30000,0,0,0,21,22,0,420
"1093",20181202816700,20181202816701,NA,37,0,1,1,0,1,111,1,140009,140000,0,1,0,21,22,0,1500
"1094",20181202816700,20181202816702,NA,36,1,1,1,0,1,92,1,55710,55000,0,1,0,21,22,0,656
"1107",20181202807200,20181202807201,0,60,0,1,4,1,1,73,1,102680,101680,0,1,0,25,25,1,1975
"1108",20181202807200,20181202807202,0,27,0,1,6,0,1,73,1,35350,35000,0,1,0,25,25,1,923
"1109",20181202811000,20181202811001,NA,52,1,1,1,0,1,123,1,92450,91000,0,1,0,25,25,0,1750
"1110",20181202811000,20181202811002,NA,57,0,1,1,0,1,73,1,59000,45000,0,1,0,21,22,0,1180
